BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
2-octenoylglycine,214084,194406,672080,271708,169713,130853,190143,299123,465802.0313,570447,206041,492940,492207.0313,1082298,390707,340898,205974,195689,238281,433403,273741,513281.9688,548760,900507,622002,623010,757428,691388,1071034,700313
2-oleoylglycerol (18:1),5052066,5950932,4903462,6356950.5,26250216,13273191,44882432,23179836,12175474,42695700,6075855,8037017,11488829,116916336,10528203,6396399,3398440,7948628,4165220.75,5883875,6726329,4913167,3626673,1656647.125,2907595,1969782,2590712,2691153,1921143.875,4151278
2-oxindole-3-acetate,92638,144103,143264,159947,208126.0156,196922,193538,180159,125852,145125,128520,66463,140132,51300,169104,223390,177412,273136,240289,234093,210944,329011,284679,372696,288616,298063,249094,312459,358691,348426
2-oxoadipate,1195013,1832457,2685654,784176,1087867,1108148,680941,360375.0313,37672560,34120140,17989238,39346292,11453209,78974176,25868988,14818081,7140737,11431621,7065273,10260584,4769331,8614973,6313403.5,2754386,3894989,1630364,1483762.875,2179846,4899622,7638721.5
2-oxoarginine*,13188305,14025075,14947056,16515904,14091330,14286499,14769852,9529580,8677975,9848583,9118440,8202109.5,9045462,7040161,7442395.5,11546843,14210840,14366516,13935777,16875300,12557014,16668097,21356272,12663297,18395020,29348398,19877228,24424752,28691594,27596372
2-palmitoleoyl-GPC* (16:1)*,8785203,7382195,8652757,21258482,9488122,15019062,7085317,37588648,14646814,16429958,6527640,7619531,8910604,17165096,4180782.75,14852933,25600612,33669216,39218640,66576532,40852624,11246918,19108164,24854706,17749520,22666826,8535464,15440532,42907980,33343420
2-palmitoleoylglycerol (16:1)*,376133,,251103.0156,,1455135,166951,2312213,1247359,408857,1507862,499476.0313,,402432,7255544,,362120,415425,505056,671842,,341422,,,,,,,,,
2-palmitoyl-GPC* (16:0)*,25673152,23866354,26677300,42249804,17503976,31617312,17778588,29027856,52035936,75387232,20558140,27923256,37886688,37655348,24545540,24788914,29559396,38803088,37908972,44019296,32618414,46202716,29564756,62439332,47254456,65189064,22590332,49819924,80752168,66399364
2-palmitoylglycerol (16:0),6994332,8740174,6737942,6765832,17493768,6085528,19995096,9332899,7205375.5,22387980,12751414,19693296,10847242,46333308,20743314,7354643,5001574,6158897,7068901.5,7076438,3965998.75,9421678,4839229,1803348,2360978,1981259,2195121,2836763,3330850,1927282
2-stearoyl-GPE (18:0)*,25382596,8600109,10837760,46294820,33693432,22229512,16704288,40546176,33936084,50330760,54441196,63991128,26168044,61414812,41237192,28901300,9294859,19256212,63208456,80007632,28830260,60028736,57431868,19149728,19174460,36331892,13666976,28292178,98033592,65015488
"2R,3R-dihydroxybutyrate",4144182,4566783,4276865,4133160,5539174,4919744,5501270,6146313,7674925,9431293,4433548,6224632,4933683,11821872,5286705,6252202,5450583,5554665,5229751,7350070,5585752,6981524,7771861,8206982,7389429.5,8610232,6842650,7296177.5,6545118,7364226
"2S,3R-dihydroxybutyrate",1721171,1663327.875,1617521,1689360,2099736,1944960,2891649,4446809,6005970,12635292,2521792,6369302,2820760.25,27689168,3071371.75,2727126,2280992,2632442,2584099,3312773,2250245,3036819,2914505,2608989,3001000,3278806.25,2776768,2795715,3326505,2886253.75
3'-dephospho-acetyl-CoA,153483,168896,303916,155791,79001,87505,114100,122198,,,,,,,,48513,,,60243.0039,58036,,182925,160288,62732,155011,106153,110717,247055,62795,204463
3'-dephospho-CoA-glutathione*,913154,822888,1117020,1609199,670433,785404,531453,1194921,,291761,77652,,60200,173712,39941,889579,598691,631933,719842,889609.9375,791617,1006009,945129.9375,1138208,1337919,1618179,705966,1508494,662182,1385424
"3,4-dihydroxybutyrate",879297.9375,939473,801457.9375,836220.9375,997928,1038761,1020372,1016356,3354007,4714965,2231158,3139145.25,2576951,9165947,2782019,2224551,1871982,1915898,1727950,2459957,1531906,898390,1117007,1195250,1079276,1274784,987835.0625,1034183,987212,1020970
3-(3-hydroxyphenyl)propionate sulfate,32385360,37832220,42390616,39062608,36172648,30458524,31149002,38110104,962256,6753810,22419980,13732363,6973329,410439,24511908,35590008,44041036,60300656,47597360,35137104,50347428,,,,,,,,,
3-(4-hydroxyphenyl)lactate (HPLA),4027543,3985127,3657383,4803167,3156614,2877420,2845733,2985720,5466725,8098164,4018292.25,4262075,3741196,20505824,3808115,5095177,6858147,5596626,4643979,5666970.5,5117451,4183060,4617778,6051854,4196619,4680267,4834225,4723630,5069962,4447897
